Docente,Categoria,Programa,Idlattes
Delia Maria Dutra da Silveira Margalef,Permanente,Estudos Comparados Sobre As Américas,3775750121850265
Xia Changyu,Permanente,Matemática,3776519961144052
Palloma Vieira Muterlle,Permanente,Ciências Mecânicas,3778709511526867
Palloma Vieira Muterlle,Permanente,Integridade de Materiais da Engenharia,3778709511526867
Erivan Ferreira Borges,Permanente,Contabilidade - Unb - Ufpb - Ufrn,3783480339573449
Cristiane de Assis Portela,Colaborador,Desenvolvimento Sustentável,3784712778116925
Felipe Saldanha de Araujo,Permanente,Ciências Farmacêuticas,3786188659740332
Felipe Saldanha de Araujo,Permanente,Patologia Molecular,3786188659740332
Mario Benjamim Baptista de Siqueira,Permanente,Ciências Mecânicas,3787439720927527
Lucia Helena Cavasin Zabotto Pulino,Permanente,Direitos Humanos e Cidadania,3793124930366938
Lucia Helena Cavasin Zabotto Pulino,Permanente,Processos de Desenvolvimento Humano e Saúde,3793124930366938
Adalberto Correa Cafe Filho,Permanente,Fitopatologia,3819793758148766
Marco Antonio Amato,Colaborador,Física,3823318334090753
Gerson Americo Janczura,Permanente,Ciências do Comportamento,3824108545465872
Rafael Barreiros Porto,Permanente,Administração,3828329623406808
Ana Cristina Murta Collares,Permanente,Sociologia,3828434769390611
Fatima de Souza Freire,Permanente,Ciências Contábeis,3833345142951348
Fatima de Souza Freire,Permanente,Contabilidade - Unb - Ufpb - Ufrn,3833345142951348
Jacob Arie Laros,Permanente,Psicologia Social do Trabalho e das Organizações,3841027733904405
William Taylor Matias Silva,Permanente,Estruturas e Construção Civil,3850624538330903
Sheila Campos Chagas,Colaborador,Matemática,3851790594023130
Adail de Castro Cavalheiro,Permanente,Matemática Em Rede Nacional,3866190415872633
Sheila Giardini Murta,Permanente,Psicologia Clínica e Cultura,3872050473238370
Jose Aroudo Mota,Colaborador,Turismo,3875681380420465
Ana Cristi Basile Dias,Permanente,Química,3878257500364079
Fabio Comes de Castro,Permanente,Ciências Mecânicas,3885726593350547
Neander Furtado Silva,Permanente,Arquitetura e Urbanismo,3886525216818735
Janaina Deane de Abreu Sa Diniz,Permanente,Desenvolvimento Sustentável,3892023307408045
Janaina Deane de Abreu Sa Diniz,Permanente,Meio Ambiente e Desenvolvimento Rural,3892023307408045
Wender Alves da Silva,Permanente,Química,3892097876321708
Wender Alves da Silva,Permanente,Tecnologias Química e Biológica,3892097876321708
David Lima Azevedo,Permanente,Ciências de Materiais,3892893860696339
David Lima Azevedo,Permanente,Física,3892893860696339
Jaime Goncalves de Almeida,Permanente,Arquitetura e Urbanismo,3904543030005792
Anderson de Jesus Gomes,Permanente,Ciências e Tecnologias Em Saúde,3906328524286042
Anderson de Jesus Gomes,Permanente,Nanociência e Nanobiotecnologia,3906328524286042
Helder Nagai Consolaro,Permanente,Botânica,3914598655311565
Betania Ferraz Quirino,Permanente,Biologia Microbiana,3916535995785654
Betania Ferraz Quirino,Permanente,Biotecnologia e Biodiversidade - Rede Pró-Centro-Oeste,3916535995785654
Betania Ferraz Quirino,Permanente,Tecnologias Química e Biológica,3916535995785654
Antonio Jorge Ramalho da Rocha,Permanente,Relações Internacionais,3919013021808128
Cristhian Teofilo da Silva,Permanente,Estudos Comparados Sobre As Américas,3919969920731350
Margo Gomes de Oliveira Karnikowski,Permanente,Ciências e Tecnologias Em Saúde,3925116705394748
Sergio Ronaldo Granemann,Permanente,Transportes,3935415679260682
Marlon Vinicius Brisola,Permanente,Agronegócios,3935425474102940
Tania Cristina da Silva Cruz,Colaborador,Meio Ambiente e Desenvolvimento Rural,3940059129469564
Jose Luis Martinez Amaro,Colaborador,Literatura,3952453899877416
Marcelo Ximenes Aguiar Bizerril,Permanente,Educação Em Ciências,3955499509122023
Marcelo Ximenes Aguiar Bizerril,Permanente,Ensino de Ciências,3955499509122023
Marcelo Ximenes Aguiar Bizerril,Permanente,Meio Ambiente e Desenvolvimento Rural,3955499509122023
Rui Seimetz,Permanente,Matemática Em Rede Nacional,3958259909445934
Ingrid Dittrich Wiggers,Permanente,Educação,3961842810282657
Ingrid Dittrich Wiggers,Permanente,Educação Física,3961842810282657
Flavia Cristina Cruz Lamberti,Permanente,Estudos de Tradução,3964082551527151
Marlene Teixeira Rodrigues,Permanente,Política Social,3972643622694043
Fabio Venturoli,Colaborador,Ciências Florestais,3977914284672829
Sadi Dal Rosso,Permanente,Sociologia,3979953030832641
Joao de Melo Maricato,Permanente,Ciências da Informação,3991129099537472
Helder Louvandini,Permanente,Ciências Animais,3996385621553357
Mauro Niskier Sanchez,Permanente,Medicina Tropical,3999089711937009
Mauro Niskier Sanchez,Permanente,Saúde Coletiva,3999089711937009
Daniele da Silva Baratela,Permanente,Matemática Em Rede Nacional,4004596903472944
Francisco Moacir de Melo Catunda Martins,Colaborador,Psicologia Clínica e Cultura,4006667017652862
Claudio Roberto Vieira Braga,Permanente,Literatura,4006703147439147
Eileen Pfeiffer Flores,Permanente,Ciências do Comportamento,4007163045058892
Aleksandra Pereira Dos Santos,Colaborador,Administração,4011643491856066
Rodrigo de Souza Goncalves,Permanente,Ciências Contábeis,4023161344392233
Rodrigo de Souza Goncalves,Permanente,Contabilidade - Unb - Ufpb - Ufrn,4023161344392233
Antenor Ferreira Correa,Permanente,Artes,4034333229788738
Antenor Ferreira Correa,Permanente,Profartes,4034333229788738
Theo Allan Darn Zapata,Permanente,Matemática Em Rede Nacional,4045130632120805
Ricardo Tezini Minoti,Permanente,Tecnologia Ambiental e Recursos Hídricos,4058939299213448
Rodrigo Studart Correa,Permanente,Ciências Ambientais,4065757997691333
Rodrigo Studart Correa,Colaborador,Geociências Aplicadas e Geodinâmica,4065757997691333
Fernanda Müller,Permanente,Educação,4068785397717343
Daniel Schroeter Simiao,Permanente,Antropologia,4068903193779093
Mario Carlos Beni,Permanente,Turismo,4073485939762023
Ronni Geraldo Gomes de Amorim,Permanente,Engenharia Biomédica,4086384842130773
Ronni Geraldo Gomes de Amorim,Colaborador,Ensino de Física - Profis,4086384842130773
Frederico Rosa Borges de Holanda,Permanente,Arquitetura e Urbanismo,4095512091254454
Alexandre Zaghetto,Colaborador,Computação Aplicada,4095988236664806
Julia Aparecida Devide Nogueira,Permanente,Educação Física,4100059268154953
Julia Aparecida Devide Nogueira,Permanente,Saúde Coletiva,4100059268154953
Eduardo Bessa Pereira da Silva,Colaborador,Ecologia,4111170501195963
Vicente de Paulo Martins,Colaborador,Ciências Biológicas,4121879784778296
Vicente de Paulo Martins,Permanente,Ciências e Tecnologias Em Saúde,4121879784778296
Vicente de Paulo Martins,Permanente,Medicina Tropical,4121879784778296
Suzana Pinheiro Machado Mueller,Permanente,Ciências da Informação,4140890737112740
Tatiana Amabile de Campos,Permanente,Biologia Microbiana,4142963181199402
Jose Alexander Araujo,Permanente,Ciências Mecânicas,4144409737965759
Lia Zanotta Machado,Colaborador,Antropologia,4158314696146985
Lia Zanotta Machado,Colaborador,Estudos Comparados Sobre As Américas,4158314696146985
Marcos Aurelio de Paula Pereira,Permanente,História,4187343052170823
Emerson Ferreira de Melo,Colaborador,Matemática,4191295466830127
Alex Sandro Calheiros de Moura,Permanente,Filosofia,4196428752650108
Marcelo Ismar Silva Santana,Permanente,Saúde Animal,4197956697217784
Li Weigang,Permanente,Informática,4218593188956443
Li Weigang,Permanente,Sistemas Mecatrônicos,4218593188956443
Maria Ines Gandolfo Conceicao,Permanente,Psicologia Clínica e Cultura,4221353466102924
Enrique Huelva Unternbaumen,Permanente,Lingüística Aplicada,4228722426543450
Enrique Huelva Unternbaumen,Permanente,Metafísica,4228722426543450
Sebastiao William da Silva,Permanente,Física,4232295256587190
Sebastiao William da Silva,Permanente,Nanociência e Nanobiotecnologia,4232295256587190
Paulo Roberto Carvalho Tavares,Colaborador,Arquitetura e Urbanismo,4241493690450737
Joao Batista de Sousa,Permanente,Ciencias Medicas,4243642626863754
Ingrid Tavora Weber,Permanente,Química,4260111082051182
Marcio Gimenes de Paula,Permanente,Filosofia,4269564367136592
Raquel Carneiro Dorr,Permanente,Matemática Em Rede Nacional,4277188083855842
Maria Angela Guimaraes Feitosa,Permanente,Ciências do Comportamento,4277883072351649
Eduardo Cyrino de Oliveira Filho,Permanente,Ciências Ambientais,4287471489910107
Jose Alves Dantas,Permanente,Ciências Contábeis,4292408391743938
Alexandre Florian da Costa,Permanente,Ciências Florestais,4300200185894332
Paulo Cesar Thomaz,Permanente,Literatura,4316234615784857
Nilton Moura Barroso Neto,Permanente,Matemática Em Rede Nacional,4318280043448159
Elizabeth Queiroz,Permanente,Psicologia Clínica e Cultura,4318535530664308
Fernanda Antonia da Fonseca Sobral,Colaborador,Sociologia,4326654590597445
Denilson Bandeira Coelho,Permanente,Ciência Política,4338243715749170
Denilson Bandeira Coelho,Colaborador,Turismo,4338243715749170
Maria da Gloria Magalhaes Dos Reis,Permanente,Lingüística Aplicada,4347778164857988
Maria da Gloria Magalhaes Dos Reis,Permanente,Literatura,4347778164857988
Paulo Chaves de Rezende Martins,Colaborador,Estruturas e Construção Civil,4359423602397506
Sandra Lucia Rodrigues da Rocha,Permanente,Literatura,4363202653030609
Jomar Miranda Rodrigues,Permanente,Ciências Contábeis,4371492514010904
Maria Izabel Santos Magalhaes,Permanente,Lingüística,4374185200753724
Ana Helena Rossi,Colaborador,Estudos de Tradução,4375358709380244
Ana Helena Rossi,Permanente,Literatura,4375358709380244
Carlos Alberto Ferreira Lima,Colaborador,Política Social,4381505269013896
Roberto Ventura Santos,Permanente,Geologia,4384542921487258
Paulo Cesar Coutinho,Permanente,Regulação e Gestão de Negócios,4405560670713673
Eduardo Yoshio Nakano,Permanente,Estatistica,4408437084347961
Liliane Maria Macedo Machado,Permanente,Comunicação,4419127208068044
Tamiel Khan Baiocchi Jacobson,Permanente,Meio Ambiente e Desenvolvimento Rural,4420719734549447
Andre Kipnis,Permanente,Biotecnologia e Biodiversidade - Rede Pró-Centro-Oeste,4434965360286741
Maria Cristina Soares Rodrigues,Permanente,Enfermagem,4437286082316101
Flavia Maria Guerra de Sousa Aranha Oliveira,Permanente,Engenharia de Sistemas Eletrônicos e de Automação,4442238042952234
Aneide Oliveira Araujo,Permanente,Contabilidade - Unb - Ufpb - Ufrn,4460316018073490
Leila Maria da Juda Bijos,Colaborador,Profnit - Propriedade Intelectual e Transferência de Tecnologia Para Inovação,4462051300142185
Jose Guilherme de Lara Resende,Permanente,Economia,4463445487598603
Jose Guilherme de Lara Resende,Permanente,Regulação e Gestão de Negócios,4463445487598603
Mylene Christine Queiroz de Farias,Permanente,Engenharia de Sistemas Eletrônicos e de Automação,4465619366143200
Mylene Christine Queiroz de Farias,Permanente,Informática,4465619366143200
Fabiano Hartmann Peixoto,Permanente,Direito,4477453804129501
Eduardo Dimitrov,Colaborador,Sociologia,4477727062911858
Laiane Medeiros Ribeiro,Permanente,Enfermagem,4499537774163139
Natalia Hauser,Permanente,Geologia,4503802835022536
Fernando Antonio Pinheiro Villar de Queiroz,Permanente,Artes Cênicas,4514248138876111
Cynthia Maria Kyaw,Permanente,Biologia Microbiana,4515344457117900
Cynthia Maria Kyaw,Colaborador,Ciências Biológicas,4515344457117900
Joao Alexandre Ribeiro Goncalves Barbosa,Permanente,Ciências Biológicas,4534452977286688
Marcus Vinicius Girao de Morais,Permanente,Ciências Mecânicas,4537685634943267
Marcus Vinicius Girao de Morais,Permanente,Integridade de Materiais da Engenharia,4537685634943267
Ana Adelina Lopo Ramos,Permanente,Lingüística,4544996155960825
Gabriele Cornelli,Permanente,Bioética,4547907128459717
Gabriele Cornelli,Permanente,Metafísica,4547907128459717
Maria Luiza Monteiro Sales Coroa,Permanente,Lingüística,4556868251055499
Andrea Cristina Dos Santos,Colaborador,Sistemas Mecatrônicos,4558493368126565
Marcelo Driemeyer Wilbert,Permanente,Ciências Contábeis,4572622060081340
Simone Monteiro e Silva,Permanente,Química,4578658799634346
Simone Monteiro e Silva,Permanente,Tecnologias Química e Biológica,4578658799634346
Marutschka Martini Moesch,Permanente,Turismo,4591055346328481
Daniel Monteiro Rosa,Permanente,Integridade de Materiais da Engenharia,4591294976024572
Jose Augusto Leitao Drummond,Permanente,Desenvolvimento Sustentável,4600608830046292
Edgar Reyes Junior,Permanente,Administração,4600683588964302
Marcio de Carvalho Pires,Colaborador,Agronomia,4604432283693781
Alicia Silvestre Miralles,Permanente,Lingüística Aplicada,4607194491408393
Ivette Kafure Munoz,Permanente,Ciências da Informação,4609811632387529
Cristina Massot Madeira Coelho,Permanente,Educação,4611792403974313
Nilce Santos de Melo,Permanente,Ciências da Saúde,4611919012909264
Nilce Santos de Melo,Permanente,Odontologia,4611919012909264
Camila Potyara Pereira,Permanente,Política Social,4621637454405096
Renata Aquino da Silva de Souza,Permanente,Ciências de Materiais,4624828839513902
Renata Aquino da Silva de Souza,Colaborador,Química,4624828839513902
Marcelo Henrique Sousa,Permanente,Ciências e Tecnologias Em Saúde,4626655391830745
Marcelo Henrique Sousa,Permanente,Nanociência e Nanobiotecnologia,4626655391830745
Marcelo Henrique Sousa,Permanente,Tecnologias Química e Biológica,4626655391830745
Maria Natacha Toral Bertolin,Colaborador,Nutrição Humana,4638157715005044
Wildo Navegantes de Araujo,Permanente,Medicina Tropical,4649706895976994
Wildo Navegantes de Araujo,Permanente,Saúde Coletiva,4649706895976994
Andre de Almeida Cunha,Colaborador,Turismo,4652288314258859
Valerio Augusto Soares de Medeiros,Permanente,Arquitetura e Urbanismo,4671263508814146
Rogerio Jose Camara,Permanente,Artes,4684085149051278
Rogerio Jose Camara,Permanente,Design,4684085149051278
Maria Rita Avanzi,Permanente,Educação Em Ciências,4707670428140936
Maria Rita Avanzi,Permanente,Ensino de Ciências,4707670428140936
Silene de Paulino Lozzi,Permanente,Profbio Ensino de Biologia Em Rede Nacional,4712709296655722
Kleber Carlos Mundim,Permanente,Química,4715497489782023
Ivan Marques de Toledo Camargo,Permanente,Regulação e Gestão de Negócios,4719760729107600
Andrea Felippe Cabello,Permanente,Economia,4731226594888669
Marcelino Monteiro de Andrade,Colaborador,Engenharia Biomédica,4739013535126469
Luis Fernando Martins Ribeiro,Permanente,Geotecnia,4739413536925106
Cassio Costa Laranjeiras,Permanente,Ensino de Ciências,4742808790131068
Cassio Costa Laranjeiras,Permanente,Ensino de Física - Profis,4742808790131068
Helena Araujo Costa,Permanente,Turismo,4746934995834841
Ricardo Bomfim Machado,Permanente,Ecologia,4752130494155871
Ricardo Bomfim Machado,Permanente,Zoologia,4752130494155871
Rogerio Henrique de Araujo Junior,Permanente,Ciências da Informação,4752236489901895
Olgamir Francisco de Carvalho,Permanente,Educação,4752640634383915
Rodrigo de Alvarenga Freire,Permanente,Filosofia,4764428833100381
Rodrigo de Alvarenga Freire,Colaborador,Metafísica,4764428833100381
Claudio Brondani,Permanente,Biotecnologia e Biodiversidade - Rede Pró-Centro-Oeste,4775600104554147
Manoel Porfirio Cordao Neto,Permanente,Geotecnia,4778269687775430
Robson Coelho Tinoco,Permanente,Literatura,4786357071287726
Adalmir de Oliveira Gomes,Permanente,Administração,4794670058791627
Anna Herron More,Permanente,Literatura,4815802338843319
Talita Souza Carmo,Permanente,Tecnologias Química e Biológica,4815958540918366
Marcella Lemos Brettas Carneiro,Permanente,Ciências de Materiais,4839052902231824
Marcella Lemos Brettas Carneiro,Permanente,Engenharia Biomédica,4839052902231824
Marcella Lemos Brettas Carneiro,Permanente,Nanociência e Nanobiotecnologia,4839052902231824
Jose Francisco Nogueira Paranagua de Santana,Colaborador,Bioética,4841706484368540
Simone Mazzini Bruschi,Colaborador,Matemática Em Rede Nacional,4853800483369975
Soraya Resende Fleischer,Permanente,Antropologia,4854939558671572
Simone Borges Simao,Permanente,Computação Aplicada,4864054308358026
Warley Marcos Nascimento,Permanente,Agronomia,4870546315235649
Rodolfo Pais Nunes Lopes,Permanente,Metafísica,4877191272788160
Raimundo Luiz Silva Araujo,Permanente,Educação,4878790694877774
Renisia Cristina Garcia,Permanente,Educação,4879162784374781
Eduardo Adilio Pelinson Alchieri,Permanente,Computação Aplicada,4885132018861296
Eduardo Adilio Pelinson Alchieri,Permanente,Informática,4885132018861296
Daniela Favaro Garrossini,Permanente,Artes,4887266557816573
Daniela Favaro Garrossini,Permanente,Design,4887266557816573
Patricia Albuquerque de Andrade,Permanente,Biologia Microbiana,4895351468821828
Patricia Albuquerque de Andrade,Permanente,Medicina Tropical,4895351468821828
Maria Salete Kern Machado,Colaborador,Direitos Humanos e Cidadania,4917791640905440
Wagner Santos de Almeida,Colaborador,Tecnologia Ambiental e Recursos Hídricos,4922643853606046
Andre Luiz Fernandes Cancado,Permanente,Estatistica,4926418860248659
Pedro David Russi Duarte,Permanente,Comunicação,4934357600267996
Alexis Fonseca Welker,Permanente,Ciências e Tecnologias Em Saúde,4937425192192846
Dais Goncalves Rocha,Permanente,Bioética,4940098844975308
Dais Goncalves Rocha,Permanente,Saúde Coletiva,4940098844975308
Raimunda Nonata Ribeiro Sampaio,Permanente,Ciencias Medicas,4973019092516868
Rosineide Magalhaes de Sousa,Permanente,Lingüística,4973119375744503
Shirleide Pereira da Silva Cruz,Permanente,Educação,4975489827151936
Monica Castagna Molina,Permanente,Educação,4988311066895705
Monica Castagna Molina,Permanente,Meio Ambiente e Desenvolvimento Rural,4988311066895705
Ricardo Araujo,Colaborador,Literatura,4991947969894077
Jose Luis Vital de Brito,Permanente,Estruturas e Construção Civil,4997599119706415
Evandro Charles Piza Duarte,Permanente,Direito,5003630503816604
Lucia Maria de Assuncao Barbosa,Permanente,Lingüística Aplicada,5030878430187815
Laura Maria Goulart Duarte,Permanente,Meio Ambiente e Desenvolvimento Rural,5036440947009832
Diana Maria Gallicchio Domingues,Visitante,Ciências e Tecnologias Em Saúde,5043080196932200
Moises Villamil Balestro,Permanente,Estudos Comparados Sobre As Américas,5043432252216418
Moises Villamil Balestro,Permanente,Meio Ambiente e Desenvolvimento Rural,5043432252216418
Aline Lima de Oliveira,Permanente,Química,5046425201703340
Teofilo Emidio de Campos,Permanente,Informática,5052452346402051
Kelley Cristine Goncalves Dias Gasque,Permanente,Ciências da Informação,5059429476738704
Susana Madeira Dobal Jordan,Permanente,Comunicação,5063008053842213
Dulce Maria Baptista,Colaborador,Ciências da Informação,5063841212997160
Saulo Rodrigues Pereira Filho,Permanente,Desenvolvimento Sustentável,5073841016682252
Elaine Nolasco Ribeiro,Permanente,Gestão Pública,5078193653345041
Gilberto Alfredo Pucca Junior,Permanente,Odontologia,5078615323504577
Gilberto Alfredo Pucca Junior,Permanente,Saúde Coletiva,5078615323504577
Diego Mota Vieira,Permanente,Administração,5080148058149201
Karina e Silva Dias,Permanente,Artes,5090396987995001
Marcelo Peres Rocha,Permanente,Geociências Aplicadas e Geodinâmica,5096756405469288
Felipe Rodrigues da Costa,Permanente,Educação Física,5101193741332172
Fabiano Jose Ferreira de Sant Ana,Permanente,Saúde Animal,5101695721028346
Thiago de Carvalho Rodrigues Doca,Permanente,Ciências Mecânicas,5118428198177879
Jose Joaquin Linares Leon,Permanente,Química,5126547270872842
Jose Joaquin Linares Leon,Permanente,Tecnologias Química e Biológica,5126547270872842
Cristina Maria Costa Leite,Permanente,Geografia,5127536119098016
Carlos Benedito de Campos Martins,Permanente,Sociologia,5133094505256088
Cicero Celio de Figueiredo,Permanente,Agronomia,5156205327629139
Gustavo Barcelos Barra,Permanente,Ciências da Saúde,5170297865027430
Jaime de Almeida,Permanente,Estudos Comparados Sobre As Américas,5176511073388935
Juliana Rochet Wirth Chaibub,Permanente,Desenvolvimento Sustentável,5177028895277181
Cristina Acciarri,Permanente,Matemática,5177360398146596
Daniele Nunes Henrique Silva,Permanente,Processos de Desenvolvimento Humano e Saúde,5177909419017721
Maria Helena da Silva Carneiro,Permanente,Educação,5180655115687228
Maria Helena da Silva Carneiro,Permanente,Educação Em Ciências,5180655115687228
Cristina Maria Teixeira Stevens,Colaborador,Literatura,5192209928459524
Alexandre Rodrigues Gomes,Colaborador,Computação Aplicada,5197066455731678
Tiago Luis Gil,Permanente,História,5199440376465740
Antonio Villar Marques de Sa,Permanente,Educação,5202402088779877
Alexandre Ricardo Soares Romariz,Colaborador,Engenharia de Sistemas Eletrônicos e de Automação,5202540363896199
Djane Braz Duarte,Colaborador,Ciências da Saúde,5218764042751604
Jose Alfredo Ruiz Vargas,Permanente,Engenharia de Sistemas Eletrônicos e de Automação,5224996059295555
Jose Alfredo Ruiz Vargas,Colaborador,Sistemas Mecatrônicos,5224996059295555
Rudi Henri Van Els,Colaborador,Sistemas Mecatrônicos,5225196180314173
Mauro Francisco Pinheiro da Silva,Permanente,Ciências de Materiais,5233046472470652
Eduardo Mauricio Mendes de Lima,Permanente,Ciências Animais,5233360990855723
Eduardo Mauricio Mendes de Lima,Permanente,Saúde Animal,5233360990855723
Cristiane Faiad de Moura,Permanente,Psicologia Social do Trabalho e das Organizações,5240057556076011
Jose Mauricio Santos Torres da Motta,Permanente,Sistemas Mecatrônicos,5240223794244707
Cesar Augusto Melo e Silva,Colaborador,Ciencias Medicas,5246570565124121
Denise de Lima Costa,Colaborador,Saúde Coletiva,5252461728791780
Jose Augusto Abreu Sa Fortes,Permanente,Transportes,5262867250109425
Fabricia Teixeira Borges,Permanente,Processos de Desenvolvimento Humano e Saúde,5263796882373579
Joao Paulo Chieregato Matheus,Permanente,Ciências e Tecnologias Em Saúde,5275150372499463
Andre Luis Muniz Garcia,Permanente,Filosofia,5275168562632729
Alfredo Feres Neto,Permanente,Educação Física,5281872227436966
Ricardo Pezzuol Jacobi,Permanente,Informática,5285476213900200
Ricardo Pezzuol Jacobi,Permanente,Sistemas Mecatrônicos,5285476213900200
Consuelo Medeiros Rodrigues de Lima,Permanente,Profbio Ensino de Biologia Em Rede Nacional,5290548370035353
Elimar Pinheiro do Nascimento,Permanente,Desenvolvimento Sustentável,5290901839648752
Claudia Padovesi Fonseca,Permanente,Profbio Ensino de Biologia Em Rede Nacional,5296077284368133
Ricardo Moreno Lima,Permanente,Educação Física,5303085462744425
Aline Mondini Calil Racanicci,Colaborador,Ciências Animais,5304081966255411
Juliana Petrocchi Rodrigues,Permanente,Tecnologias Química e Biológica,5311560340084408
Marcus Santos Mota,Permanente,Artes,5312349289996473
Marcus Santos Mota,Permanente,Artes Cênicas,5312349289996473
Marcus Santos Mota,Permanente,Metafísica,5312349289996473
Marcos Takashi Obara,Permanente,Medicina Tropical,5316145163221169
Conceicao de Maria Albuquerque Alves,Permanente,Tecnologia Ambiental e Recursos Hídricos,5316490312203948
Dalva Graciano Ribeiro,Permanente,Botânica,5330699702723299
Fabiano Araujo Soares,Permanente,Engenharia Biomédica,5330755818114960
Luiz Fernando Macedo Bessa,Permanente,Desenvolvimento Sociedade e Cooperação Internacional,5332689423149315
Valdir Adilson Steinke,Permanente,Geografia,5334844470201838
Marcio Muniz de Farias,Permanente,Geotecnia,5345279954551868
Pedro Paulo Murce Meneses,Permanente,Administração,5351795278974004
Eder Pereira Miguel,Permanente,Ciências Florestais,5362897230508312
Jose Francisco da Rocha Neto,Colaborador,Física,5375015053914361
Henyo Trindade Barretto Filho,Permanente,Antropologia,5380440486115207
Henyo Trindade Barretto Filho,Permanente,Desenvolvimento Sustentável,5380440486115207
Maria Abádia da Silva,Permanente,Educação,5389894947596066
Nara Oliveira Silva Souza,Permanente,Agronomia,5391690094132752
Angela Patricia Santana,Permanente,Saúde Animal,5397825086420928
Kleber Aparecido da Silva,Permanente,Lingüística,5411877784984041
Alexandre Melo Bailao,Colaborador,Biotecnologia e Biodiversidade - Rede Pró-Centro-Oeste,5415221996976886
Luciano Paulino da Silva,Permanente,Nanociência e Nanobiotecnologia,5424781102486268
Gerson de Souza Mol,Permanente,Educação Em Ciências,5435762270956940
Gerson de Souza Mol,Permanente,Ensino de Ciências,5435762270956940
Nelson Henrique Barbosa Filho,Colaborador,Economia,5437098161269003
Sergio Barreira de Faria Tavolaro,Permanente,Sociologia,5442207538362236
Bruno Werneck Pinto Hoelz,Permanente,Engenharia Elétrica,5453814076903614
Claudio Henrique de Almeida Feitosa Pereira,Colaborador,Estruturas e Construção Civil,5457613006182121
Hermenegildo Jose de Menezes Bastos,Colaborador,Literatura,5459616419659493
Fernando Fabriz Sodre,Permanente,Química,5464023129390042
Fernando Fabriz Sodre,Permanente,Tecnologias Química e Biológica,5464023129390042
Paula Elaine Diniz Dos Reis,Permanente,Ciências da Saúde,5466808863759700
Paula Elaine Diniz Dos Reis,Permanente,Enfermagem,5466808863759700
Germana Henriques Pereira,Permanente,Estudos de Tradução,5479032498605468
Germana Henriques Pereira,Permanente,Literatura,5479032498605468
Marcos Aurelio Fernandes,Permanente,Filosofia,5481070831430679
Bernardo Kipnis,Permanente,Educação,5489457902027266
Elaine Rabelo Neiva,Permanente,Psicologia Social do Trabalho e das Organizações,5495905961378269
Bergmann Morais Ribeiro,Permanente,Ciências Biológicas,5505277659734432
Bergmann Morais Ribeiro,Permanente,Patologia Molecular,5505277659734432
Carolina Pescatori Candido da Silva,Colaborador,Arquitetura e Urbanismo,5507673131571546
Ricardo Lourenco Pinto,Colaborador,Geologia,5517630161411973
Einstein Francisco de Camargos,Permanente,Ciencias Medicas,5525713570929372
Cecilia Beatriz Fiuza Favali,Permanente,Biologia Microbiana,5534075197522915
Cecilia Beatriz Fiuza Favali,Permanente,Medicina Tropical,5534075197522915
Lillian Maria Araujo de Rezende Alvares,Permanente,Ciências da Informação,5541636086123721
Antonio Sebben,Permanente,Profbio Ensino de Biologia Em Rede Nacional,5545989326499978
Antonio Sebben,Colaborador,Zoologia,5545989326499978
Hemar Teixeira Godinho,Permanente,Matemática,5551839953108365
Cristina Yumie Aoki Inoue,Permanente,Relações Internacionais,5557106844328206
Noemia Urruth Leao Tavares,Permanente,Saúde Coletiva,5571710480939360
Osmar Abilio de Carvalho Junior,Permanente,Geografia,5572269831914055
Clayton Quirino Mendes,Colaborador,Ciências Animais,5594474167742681
Amaralina Miranda de Souza,Permanente,Educação,5595005732450701
Veronica Moreira Amado,Colaborador,Ciencias Medicas,5609404087244225
Alexandre Flavio Silva Andrada,Permanente,Economia,5618842584548190
Francisco Leite Aviani,Colaborador,Arquitetura e Urbanismo,5623972959038895
Jose Eloi Guimaraes Campos,Permanente,Geociências Aplicadas e Geodinâmica,5630520930747429
Jose Eloi Guimaraes Campos,Permanente,Geologia,5630520930747429
Denise Navia Magalhaes Ferreira,Permanente,Zoologia,5630640033850731
Celia Ghedini Ralha,Permanente,Informática,5632722847264046
Guilherme Dotto Brand,Permanente,Química,5639225080268145
Carlos Bloch Junior,Permanente,Ciências Biológicas,5649236321441309
Emir Jose Suaiden,Colaborador,Ciências da Informação,5651552109380543
Maria Fernanda Derntl,Permanente,Arquitetura e Urbanismo,5654879697444080
Maria Fernanda Derntl,Colaborador,História,5654879697444080
Fayez Bahmad Junior,Permanente,Ciências da Saúde,5661162259674194
Leticia Correa Celeste,Permanente,Ciências da Reabilitação,5666059481607562
Leticia Correa Celeste,Permanente,Ciências e Tecnologias Em Saúde,5666059481607562
Cristina Maria Zackseski,Permanente,Direito,5690720113683403
Lucio Franca Teles,Permanente,Educação,5691027584146161
Carlos Kleber de Andrade,Permanente,Química,5698458492859059
Annibal Dias de Figueiredo Neto,Colaborador,Ensino de Física - Profis,5703906481688766
Annibal Dias de Figueiredo Neto,Permanente,Física,5703906481688766
Juscelino Eudamidas Bezerra,Permanente,Geografia,5709330601484442
Rafael Plakoudi Souto Maior,Permanente,Biologia Animal,5711121793956849
Rafael Plakoudi Souto Maior,Permanente,Ciências da Saúde,5711121793956849
Fernando Albuquerque de Oliveira,Permanente,Física,5720500395612472
Marco Aurelio Alves Barbosa,Permanente,Ciências de Materiais,5720622055548812
Maristela Terto de Holanda,Permanente,Computação Aplicada,5724567591998546
