Docente,Categoria,Programa,Idlattes
Aldicir Osni Scariot,Permanente,Ecologia,0760002134076536
Denise Imbroisi,Permanente,Economia,0761253016559114
Anderson Marcos de Souza,Permanente,Ciências Florestais,0762320192832740
Iracema de Almeida Lecourt,Permanente,Artes,0783513923704444
Dione Oliveira Moura,Permanente,Comunicação,0796700383761856
Welitom Rodrigues Borges,Permanente,Geociências Aplicadas e Geodinâmica,0799322864183147
Ruth Losada de Menezes,Permanente,Ciências e Tecnologias Em Saúde,0801615424099670
Jonas de Lima Sales,Permanente,Profartes,0807637225346047
Martino Garonzi,Permanente,Matemática,0808938145313058
Fabian Borghetti,Permanente,Botânica,0828939237933660
Sanderson Cesar Macedo Barbalho,Permanente,Sistemas Mecatrônicos,0830040668135235
Helena da Silva Guerra Vicente,Permanente,Lingüística,0833139850305833
Sergio Dayrell Porto,Colaborador,Comunicação,0839576189172233
Jose Antonio Vieira Pimenta,Colaborador,Antropologia,0854801305953601
Jose Antonio Vieira Pimenta,Permanente,Desenvolvimento Sustentável,0854801305953601
Eda Castro Lucas de Souza,Permanente,Administração,0876899071218798
Delmary Vasconcelos de Abreu,Permanente,Música,0880820345740922
Delmary Vasconcelos de Abreu,Permanente,Profartes,0880820345740922
Paulo Tadeu de Souza Figueiredo,Permanente,Ciências da Saúde,0886941225536719
Paulo Tadeu de Souza Figueiredo,Permanente,Odontologia,0886941225536719
Loraine de Fatima Oliveira,Permanente,Metafísica,0890889817205731
Conceicao Eneida Dos Santos Silveira,Colaborador,Botânica,0910151922371926
Edison Ryoiti Sujii,Permanente,Ecologia,0910210596589294
Mariana Malard Sales Andrade,Permanente,Ciências de Materiais,0925491332464897
Guy Grebot,Permanente,Matemática Em Rede Nacional,0925827814851624
Solano Dos Santos Nascimento,Permanente,Comunicação,0927070821193708
Cesar Fonseca Ferreira Filho,Permanente,Geologia,0930308397178534
Gisele Martins,Permanente,Enfermagem,0938329840216223
Joelma Rodrigues da Silva,Permanente,Desenvolvimento Sustentável,0959716761792838
Robert Neil Gerard Miller,Permanente,Ciências Biológicas,0960398662960668
Robert Neil Gerard Miller,Permanente,Fitopatologia,0960398662960668
Jeremie Garnier,Permanente,Geociências Aplicadas e Geodinâmica,0966331351690402
Jeremie Garnier,Permanente,Geologia,0966331351690402
Nitza Tenenblat,Permanente,Artes Cênicas,0968351689788914
Mauricio de Carvalho Amazonas,Permanente,Desenvolvimento Sustentável,0974214976685536
Mauricio de Carvalho Amazonas,Permanente, Ensino de Ciências Ambientais Em Rede Nacional,0974214976685536
Helen da Costa Gurgel,Permanente,Geografia,0975018553829295
Luis Felipe Miguel,Permanente,Ciência Política,0988858984939965
Elibio Leopoldo Rech Filho,Permanente,Biotecnologia e Biodiversidade - Rede Pró-Centro-Oeste,0995074904257272
Elibio Leopoldo Rech Filho,Permanente,Ciências Biológicas,0995074904257272
Elibio Leopoldo Rech Filho,Permanente,Tecnologias Química e Biológica,0995074904257272
Luis Fernando Ramos Molinaro,Colaborador,Engenharia Elétrica,0997629063334821
Evaldo Sampaio da Silva,Permanente,Metafísica,1003201485208002
Micheline Carvalho Silva,Colaborador,Botânica,1015868478480965
Eliane Ferreira Noronha,Permanente,Biologia Microbiana,1016320998962875
Eliane Ferreira Noronha,Permanente,Ciências Biológicas,1016320998962875
